,0,1,2,3
0,0,0.917,0.2758822212466762,5000
1,1,0.516,0.49974393443042403,5000
2,2,0.5184,0.49966132529944723,5000
3,3,0.513,0.49983097142934224,5000
4,4,0.508,0.49993599590347565,5000
5,5,0.4786,0.4995418300803247,5000
6,6,0.5386,0.49850781337908834,5000
7,7,0.5118,0.49986074060682145,5000
8,8,0.5172,0.4997040724268715,5000
9,9,0.5278,0.4992265617933404,5000
10,10,0.5354,0.49874526564169,5000
11,11,0.5176,0.4996901439892526,5000
12,12,0.5494,0.49755365539808866,5000
13,13,0.548,0.49769066698100745,5000
14,14,0.528,0.49921538437832624,5000
15,15,0.548,0.49769066698100745,5000
16,16,0.5474,0.4977481692583108,5000
17,17,0.5374,0.4985992779778166,5000
18,18,0.5266,0.49929193864912336,5000
19,19,0.549,0.49759320734913576,5000
20,20,0.5458,0.4978979413494295,5000
21,21,0.5318,0.49898773532021806,5000
22,22,0.5372,0.49861423966830315,5000
23,23,0.558,0.49662460672020675,5000
